case_id,finding_count,high_severity_count,review_severity_count,room_count,object_count,flow_intersection_count,has_toilet_near_production,has_waste_flow_intersection,unknown_room_count,handwashing_point_count,revision_risk_class
synthetic-training-0070,5,0,2,10,4,3,0,1,2,3,high
synthetic-training-0071,6,3,2,10,12,1,1,0,1,2,high
synthetic-training-0072,6,2,4,12,11,0,0,0,0,3,high
synthetic-training-0073,9,3,3,11,11,3,0,0,1,1,high
synthetic-training-0074,8,2,4,10,18,2,1,1,1,2,high
synthetic-training-0075,6,2,2,10,7,2,0,0,2,1,high
synthetic-training-0076,3,1,1,6,10,1,1,1,2,2,high
synthetic-training-0077,5,2,1,9,5,2,0,1,0,1,high
synthetic-training-0078,6,0,4,14,13,2,0,1,0,0,high
synthetic-training-0079,9,3,3,12,7,3,1,0,0,2,high
synthetic-training-0080,6,0,3,14,13,3,0,0,0,1,high
synthetic-training-0081,1,0,1,12,18,0,1,0,2,3,medium
synthetic-training-0082,9,2,4,8,10,3,1,0,2,0,high
synthetic-training-0083,3,2,0,7,4,1,0,0,2,0,high
synthetic-training-0084,9,3,3,9,18,3,1,0,0,2,high
synthetic-training-0085,3,0,1,7,12,2,0,1,0,1,medium
synthetic-training-0086,1,1,0,12,7,0,0,1,2,2,medium
synthetic-training-0087,8,3,2,14,5,3,1,1,1,0,high
synthetic-training-0088,7,3,2,9,5,2,0,0,0,0,high
synthetic-training-0089,7,1,3,12,6,3,1,0,2,3,high
synthetic-training-0090,8,3,2,7,14,3,1,1,2,0,high
synthetic-training-0091,8,3,3,10,12,2,1,0,1,0,high
synthetic-training-0092,5,2,0,8,20,3,0,1,1,0,high
synthetic-training-0093,9,2,4,13,8,3,1,0,0,2,high
synthetic-training-0094,8,2,3,7,13,3,0,0,2,1,high
synthetic-training-0095,7,0,4,6,8,3,0,0,0,3,high
synthetic-training-0096,7,3,2,12,8,2,1,1,1,1,high
synthetic-training-0097,5,3,1,13,12,1,0,1,1,2,high
synthetic-training-0098,4,0,2,10,14,2,1,0,1,3,high
synthetic-training-0099,8,3,3,8,17,2,0,0,2,3,high
synthetic-training-0100,5,0,2,12,5,3,1,1,2,1,high
synthetic-training-0101,7,1,4,5,8,2,0,1,0,3,high
synthetic-training-0102,4,3,1,6,14,0,1,1,1,3,high
synthetic-training-0103,8,3,2,8,6,3,0,0,0,2,high
synthetic-training-0104,3,3,0,5,5,0,1,0,2,2,high
synthetic-training-0105,4,2,0,8,20,2,1,1,1,1,high
synthetic-training-0106,8,3,4,14,11,1,0,0,0,3,high
synthetic-training-0107,8,3,4,12,12,1,0,1,2,2,high
synthetic-training-0108,5,0,3,14,13,2,0,0,1,2,high
synthetic-training-0109,8,3,2,6,11,3,1,0,1,3,high
synthetic-training-0110,9,3,4,9,4,2,1,1,0,3,high
synthetic-training-0111,7,0,4,8,10,3,1,0,2,2,high
synthetic-training-0112,3,2,1,14,15,0,0,1,1,0,high
synthetic-training-0113,3,1,0,7,15,2,1,1,0,1,high
synthetic-training-0114,5,2,1,6,18,2,1,1,2,2,high
synthetic-training-0115,2,0,1,5,12,1,1,1,0,3,medium
synthetic-training-0116,5,0,3,6,11,2,1,1,2,2,high
synthetic-training-0117,5,3,0,9,17,2,0,0,2,3,high
synthetic-training-0118,1,0,1,6,11,0,0,1,1,0,medium
synthetic-training-0119,7,1,3,11,7,3,1,1,2,1,high
synthetic-training-0120,10,3,4,8,18,3,1,0,2,2,high
synthetic-training-0121,6,3,1,5,16,2,0,1,2,2,high
synthetic-training-0122,3,2,1,14,4,0,1,0,2,1,high
synthetic-training-0123,3,0,2,14,10,1,0,0,0,1,medium
synthetic-training-0124,4,1,2,13,12,1,0,1,0,1,high
synthetic-training-0125,1,1,0,14,14,0,0,0,1,1,medium
synthetic-training-0126,3,0,1,13,7,2,0,0,2,3,medium
synthetic-training-0127,6,0,3,14,5,3,1,0,1,1,high
synthetic-training-0128,5,2,3,6,19,0,0,1,1,3,high
synthetic-training-0129,3,3,0,9,14,0,1,0,0,1,high
synthetic-training-0130,9,3,4,13,10,2,1,1,0,0,high
synthetic-training-0131,7,3,3,11,7,1,1,1,1,3,high
synthetic-training-0132,7,2,3,6,6,2,1,1,0,3,high
synthetic-training-0133,3,0,0,14,14,3,0,1,0,0,high
synthetic-training-0134,5,0,3,10,7,2,1,0,1,2,high
synthetic-training-0135,5,1,1,6,12,3,0,0,1,2,high
synthetic-training-0136,4,1,3,9,14,0,1,0,0,2,high
synthetic-training-0137,3,2,0,5,6,1,0,1,0,1,high
synthetic-training-0138,7,1,3,9,14,3,1,1,0,2,high
synthetic-training-0139,1,0,0,9,18,1,0,0,2,0,medium
synthetic-training-0140,9,3,3,10,17,3,1,1,0,0,high
synthetic-training-0141,5,0,2,14,5,3,1,0,0,3,high
synthetic-training-0142,3,0,1,10,7,2,0,0,1,2,medium
synthetic-training-0143,6,0,3,13,15,3,0,0,1,1,high
synthetic-training-0144,3,0,3,10,17,0,1,0,1,0,medium
synthetic-training-0145,8,3,3,7,18,2,0,1,0,2,high
synthetic-training-0146,5,2,0,13,6,3,0,0,1,3,high
synthetic-training-0147,7,3,2,13,7,2,0,1,0,0,high
synthetic-training-0148,5,1,2,9,10,2,0,0,0,1,high
synthetic-training-0149,6,1,4,12,18,1,0,0,2,3,high
synthetic-training-0150,5,2,2,9,12,1,1,0,1,3,high
synthetic-training-0151,2,0,2,5,15,0,1,1,1,0,high
synthetic-training-0152,2,2,0,12,10,0,1,1,2,0,high
synthetic-training-0153,9,2,4,10,6,3,0,0,1,0,high
synthetic-training-0154,2,1,0,10,15,1,1,1,2,1,high
synthetic-training-0155,8,2,3,6,14,3,1,0,2,2,high
synthetic-training-0156,7,0,4,10,6,3,1,1,2,1,high
synthetic-training-0157,5,1,2,9,16,2,1,0,2,0,high
synthetic-training-0158,3,2,1,9,9,0,1,1,0,2,high
synthetic-training-0159,6,1,2,6,13,3,0,0,0,1,high
synthetic-training-0160,4,0,4,7,9,0,1,0,2,3,medium
